timestamp;from;to;subject;link_clicked;ip_address;attachment
15.10.2024 08:55;admin@acme.com;external.contact@protonmail.com;Q3 Meeting Notes;no;10.0.1.50;meeting_notes.pdf
15.10.2024 09:00;security@acme-finance.com;user1@acme.com;URGENT: Verify Your Account - Action Required;yes;203.0.113.45;
15.10.2024 09:00;security@acme-finance.com;user2@acme.com;URGENT: Verify Your Account - Action Required;no;;
15.10.2024 09:00;security@acme-finance.com;user3@acme.com;URGENT: Verify Your Account - Action Required;yes;203.0.113.45;
15.10.2024 09:00;security@acme-finance.com;user4@acme.com;URGENT: Verify Your Account - Action Required;no;;
15.10.2024 09:00;security@acme-finance.com;user5@acme.com;URGENT: Verify Your Account - Action Required;yes;203.0.113.45;
15.10.2024 09:00;security@acme-finance.com;user6@acme.com;URGENT: Verify Your Account - Action Required;no;;
15.10.2024 09:15;support@acme.com;customer1@example.com;Re: Account inquiry;no;10.0.2.30;
15.10.2024 10:30;hr@acme.com;all-staff@acme.com;Team Building Event Next Week;no;10.0.2.15;
15.10.2024 11:45;it@acme.com;engineering@acme.com;Scheduled Maintenance Tonight;no;10.0.2.25;
